NEGERI,Year,Minggu 1,Minggu 2,Minggu 3,Minggu 4,Minggu 5,Minggu 6,Minggu 7,Minggu 8,Minggu 9,Minggu 10,Minggu 11,Minggu 12,Minggu 13,Minggu 14,Minggu 15,Minggu 16,Minggu 17,Minggu 18,Minggu 19,Minggu 20,Minggu 21,Minggu 22,Minggu 23,Minggu 24,Minggu 25,Minggu 26,Minggu 27,Minggu 28,Minggu 29,Minggu 30,Minggu 31 ,Minggu 32,Minggu 33,Minggu 34,Minggu 35,Minggu 36,Minggu 37,Minggu 38,Minggu 39,Minggu 40,Minggu 41,Minggu 42,Minggu 43,Minggu 44,Minggu 45,Minggu 46,Minggu 47,Minggu 48,Minggu 49,Minggu 50,Minggu 51,Minggu 52
PERLIS,2011,2,7,3,4,0,2,1,0,0,0,0,0,0,1,1,3,1,1,1,0,0,1,3,3,3,3,1,2,4,2,4,5,4,6,0,2,4,6,3,3,2,2,3,2,1,4,2,1,1,1,3,2
KEDAH,2011,15,11,9,20,13,13,9,9,12,12,4,6,4,3,7,10,9,5,11,13,4,14,7,14,10,6,10,6,11,10,5,15,13,5,2,6,10,5,8,13,4,7,19,14,8,20,11,15,17,19,11,7
PULAU PINANG,2011,42,46,40,48,24,33,32,35,29,36,36,34,34,23,43,54,62,34,32,29,41,46,47,39,33,31,40,40,48,34,27,28,26,26,20,24,25,18,8,18,10,9,10,13,16,20,18,21,26,23,22,24
PERAK,2011,36,25,40,41,18,31,16,31,17,39,28,16,22,27,22,21,20,21,28,22,20,19,21,26,27,39,28,27,23,19,25,27,21,19,10,25,23,16,32,18,29,32,40,30,35,42,50,27,44,62,33,24
SELANGOR,2011,170,213,173,167,144,137,136,162,137,116,127,103,112,164,180,168,126,120,153,179,178,143,137,151,182,167,202,168,139,146,119,131,152,111,70,103,122,147,121,110,141,153,140,145,150,160,181,163,201,234,194,151
WPKL/PUTRAJAYA,2011,36,36,28,32,22,28,39,37,33,26,18,32,30,36,47,34,32,36,37,44,52,50,42,47,34,48,47,37,42,33,39,40,34,31,17,42,53,38,42,43,46,51,62,46,48,55,56,32,47,49,39,33
N.SEMBILAN,2011,6,9,12,20,18,11,10,12,15,27,13,14,17,17,13,13,24,27,19,15,13,18,9,15,16,12,29,12,11,18,17,15,8,15,7,17,12,11,15,17,13,14,12,18,11,14,13,9,12,12,10,5
MELAKA,2011,19,21,8,10,3,6,13,12,19,12,7,7,4,7,5,1,8,7,8,4,12,6,6,5,10,9,7,7,7,8,3,5,5,4,2,3,5,5,9,9,13,9,13,7,7,13,14,12,16,15,16,7
JOHOR,2011,50,61,49,44,35,50,62,45,42,38,48,22,30,31,33,32,31,26,32,24,22,22,24,23,37,17,27,25,35,29,28,21,25,21,10,29,18,19,30,31,22,30,28,24,16,24,34,26,27,28,32,26
PAHANG,2011,34,34,26,28,21,25,17,25,27,32,25,16,17,14,11,11,12,14,12,13,14,19,19,14,20,23,14,12,17,21,15,16,18,14,5,12,14,17,13,17,18,16,18,20,18,12,14,13,20,14,15,10
TERENGGANU,2011,22,39,35,18,18,16,28,19,15,14,13,16,30,6,8,8,6,6,13,11,5,4,7,9,12,13,8,15,12,11,6,14,15,8,6,11,6,12,7,11,11,10,17,16,9,16,15,17,13,17,13,15
KELANTAN,2011,28,23,17,21,20,16,17,14,13,12,8,10,17,10,8,15,9,9,4,11,8,10,8,9,12,16,13,13,19,17,21,18,25,21,13,13,9,15,12,10,11,18,13,9,20,17,9,4,30,14,16,21
SARAWAK,2011,46,50,31,24,25,17,25,16,24,22,22,13,13,11,12,15,13,21,23,16,15,10,23,15,23,18,15,15,11,19,26,18,13,18,10,19,20,16,16,9,14,10,27,17,21,12,14,13,21,29,18,16
SABAH,2011,14,20,18,15,10,6,15,13,10,16,8,11,6,6,8,11,9,7,9,3,4,7,6,5,7,12,6,4,4,7,8,9,6,3,4,5,4,5,8,7,6,8,5,5,7,6,6,5,11,5,7,4
LABUAN,2011,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5